Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
BIKF,SVMI,2314,2314,1.770,0.750
BIKF,SVMI,1997,1997,1.835,0.505
BIKF,SVMI,2210,2210,1.959,1.486
BIKF,SVMI,2052,2052,2.251,0.673
BIKF,SVMI,2229,2229,2.197,0.961
BIKF,SVMI,2077,2077,4.274,0.988
BIKF,SVMI,2373,2373,2.167,0.811
BIKF,SVMI,2447,2447,1.744,0.747
BIKF,SVMI,2085,2085,1.853,2.509
BIKF,SVMI,2078,2078,1.641,0.800
BIKF,SVMI,2391,2391,1.606,0.734
BIKF,SVMI,2610,2610,2.410,0.761
BIKF,SVMI,2094,2094,1.971,0.800
BIKF,SVMI,2334,2334,1.967,0.721
BIKF,SVMI,2099,2099,1.377,0.596
BIKF,SVMI,2494,2494,1.509,0.662
BIKF,SVMI,2586,2586,1.436,0.573
BIKF,SVMI,2511,2511,1.473,0.673
BIKF,SVMI,2186,2186,1.666,0.786
BIKF,SVMI,2767,2767,1.659,0.627
BIKF,SVMI,2521,2521,1.754,0.610
BIKF,SVMI,2439,2439,1.804,0.763
BIKF,SVMI,2251,2251,1.534,0.523
BIKF,SVMI,2343,2343,2.465,0.627
BIKF,SVMI,2374,2374,1.457,0.692
BIKF,SVMI,2799,2799,0.900,0.420
BIKF,SVMI,2244,2244,1.946,1.440
BIKF,SVMI,2476,2476,1.486,0.491
BIKF,SVMI,2797,2797,0.950,0.338
BIKF,SVMI,2750,2750,1.475,2.201
BIKF,SVMI,2546,2546,1.628,0.666
BIKF,SVMI,2091,2091,1.515,0.435
BIKF,SVMI,2224,2224,1.176,1.613
BIKF,SVMI,2218,2218,1.378,0.386
BIKF,SVMI,2345,2345,1.015,0.319
BIKF,SVMI,2092,2092,1.948,0.959
BIKF,SVMI,2370,2370,1.516,0.818
BIKF,SVMI,2633,2633,1.405,0.389
BIKF,SVMI,2883,2883,1.926,0.891
BIKF,SVMI,2143,2143,1.049,0.354
BIKF,SVMI,2501,2501,1.191,0.614
BIKF,SVMI,2834,2834,1.573,0.615
BIKF,SVMI,2474,2474,1.056,0.464
BIKF,SVMI,2389,2389,0.858,0.311
BIKF,SVMI,2307,2307,1.384,1.088
BIKF,SVMI,2735,2735,0.904,0.358
BIKF,SVMI,2716,2716,1.543,0.635
BIKF,SVMI,2293,2293,0.878,0.389
