Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
UMMS,SKBO,1,1324,174,1498,1.211
UMMS,SKBO,2,1876,313,2189,1.221
UMMS,SKBO,2,1814,166,1980,1.349
UMMS,SKBO,1,1324,311,1635,1.159
UMMS,SKBO,1,1324,165,1489,0.949
UMMS,SKBO,2,1816,253,2069,1.508
UMMS,SKBO,1,1322,294,1616,1.118
UMMS,SKBO,2,1814,126,1940,1.124
UMMS,SKBO,2,1870,27,1897,1.226
UMMS,SKBO,1,1322,419,1741,1.336
UMMS,SKBO,2,1870,98,1968,1.504
UMMS,SKBO,2,1876,253,2129,1.480
UMMS,SKBO,2,1808,109,1917,1.355
UMMS,SKBO,2,1865,307,2172,1.147
UMMS,SKBO,1,1322,197,1519,1.070
UMMS,SKBO,1,1324,446,1770,1.111
UMMS,SKBO,1,1324,233,1557,1.044
UMMS,SKBO,1,1324,386,1710,1.028
UMMS,SKBO,1,1324,580,1904,1.363
UMMS,SKBO,2,1867,182,2049,1.299
UMMS,SKBO,2,1888,126,2014,0.987
UMMS,SKBO,2,1814,237,2051,1.292
UMMS,SKBO,2,1816,267,2083,0.885
UMMS,SKBO,2,1870,222,2092,0.907
UMMS,SKBO,2,1808,58,1866,1.689
UMMS,SKBO,2,1888,131,2019,1.238
UMMS,SKBO,1,1322,37,1359,0.911
UMMS,SKBO,2,1876,197,2073,1.262
UMMS,SKBO,2,1870,124,1994,1.146
UMMS,SKBO,2,1875,195,2070,0.911
UMMS,SKBO,1,1324,684,2008,1.082
UMMS,SKBO,2,1758,428,2186,1.481
UMMS,SKBO,2,1876,218,2094,0.953
UMMS,SKBO,2,1888,285,2173,1.110
UMMS,SKBO,2,1871,93,1964,1.281
UMMS,SKBO,1,1324,284,1608,1.583
UMMS,SKBO,2,1863,104,1967,0.980
UMMS,SKBO,2,1874,111,1985,1.575
UMMS,SKBO,2,1874,178,2052,1.020
UMMS,SKBO,2,1803,92,1895,0.926
UMMS,SKBO,1,1324,563,1887,0.837
UMMS,SKBO,2,1881,245,2126,1.754
UMMS,SKBO,1,1322,241,1563,1.402
UMMS,SKBO,2,1808,200,2008,0.991
UMMS,SKBO,2,1888,302,2190,1.160
UMMS,SKBO,2,1863,82,1945,1.196
UMMS,SKBO,2,1808,186,1994,1.033
UMMS,SKBO,2,1877,133,2010,1.238
UMMS,SKBO,2,1808,151,1959,2.043
UMMS,SKBO,2,1877,107,1984,1.222
UMMS,SKBO,2,1874,188,2062,1.238
UMMS,SKBO,2,1881,235,2116,0.948
UMMS,SKBO,2,1883,41,1924,0.822
UMMS,SKBO,2,1811,288,2099,0.964
UMMS,SKBO,2,1881,179,2060,1.073
UMMS,SKBO,1,1322,585,1907,1.308
UMMS,SKBO,2,1811,272,2083,0.917
UMMS,SKBO,2,1871,100,1971,0.870
UMMS,SKBO,2,1873,210,2083,1.722
UMMS,SKBO,1,1322,518,1840,0.977
UMMS,SKBO,2,1808,182,1990,0.888
UMMS,SKBO,1,1324,416,1740,0.956
UMMS,SKBO,2,1876,90,1966,1.221
UMMS,SKBO,1,1322,79,1401,0.920
UMMS,SKBO,1,1322,536,1858,0.785
UMMS,SKBO,2,1863,119,1982,1.358
UMMS,SKBO,2,1867,113,1980,1.445
UMMS,SKBO,1,1324,221,1545,1.139
UMMS,SKBO,2,1888,104,1992,1.470
UMMS,SKBO,2,1874,60,1934,1.180
UMMS,SKBO,2,1888,109,1997,0.985
UMMS,SKBO,1,1324,380,1704,1.452
UMMS,SKBO,2,1876,171,2047,1.150
UMMS,SKBO,1,1324,4,1328,1.023
UMMS,SKBO,1,1324,552,1876,0.836
UMMS,SKBO,2,1877,117,1994,1.082
UMMS,SKBO,2,1876,275,2151,1.090
UMMS,SKBO,1,1322,726,2048,0.964
UMMS,SKBO,2,1881,219,2100,1.096
UMMS,SKBO,2,1876,146,2022,1.238
UMMS,SKBO,2,1873,170,2043,0.990
UMMS,SKBO,2,1888,92,1980,1.190
UMMS,SKBO,1,1322,443,1765,1.178
UMMS,SKBO,2,1808,113,1921,1.038
UMMS,SKBO,2,1877,147,2024,0.931
UMMS,SKBO,1,1322,272,1594,1.018
UMMS,SKBO,1,1322,472,1794,1.659
UMMS,SKBO,2,1876,64,1940,2.294
UMMS,SKBO,2,1876,66,1942,1.635
UMMS,SKBO,2,1888,51,1939,0.920
UMMS,SKBO,2,1874,297,2171,0.922
UMMS,SKBO,2,1815,313,2128,1.158
UMMS,SKBO,2,1881,210,2091,1.230
UMMS,SKBO,2,1808,160,1968,1.013
UMMS,SKBO,1,1322,323,1645,0.931
UMMS,SKBO,1,1324,116,1440,1.924
UMMS,SKBO,2,1888,72,1960,1.024
UMMS,SKBO,2,1863,166,2029,1.014
UMMS,SKBO,1,1324,260,1584,1.746
UMMS,SKBO,2,1876,190,2066,1.196
UMMS,SKBO,1,1324,558,1882,0.852
UMMS,SKBO,1,1324,264,1588,1.776
UMMS,SKBO,2,1814,180,1994,0.962
UMMS,SKBO,1,1322,184,1506,1.037
UMMS,SKBO,2,1881,78,1959,1.512
UMMS,SKBO,2,1874,203,2077,1.854
UMMS,SKBO,2,1808,81,1889,0.956
UMMS,SKBO,1,1322,0,1322,1.628
UMMS,SKBO,1,1324,336,1660,1.321
UMMS,SKBO,2,1881,111,1992,1.310
UMMS,SKBO,2,1881,198,2079,1.211
UMMS,SKBO,1,1324,569,1893,1.454
UMMS,SKBO,2,1803,225,2028,0.943
UMMS,SKBO,1,1322,189,1511,0.972
UMMS,SKBO,2,1816,395,2211,1.440
UMMS,SKBO,2,1879,251,2130,1.357
UMMS,SKBO,2,1803,32,1835,1.065
UMMS,SKBO,1,1322,443,1765,2.122
UMMS,SKBO,1,1322,480,1802,0.955
UMMS,SKBO,1,1324,415,1739,0.868
UMMS,SKBO,1,1322,198,1520,1.566
