Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
LDZA,ESKN,2,1150,110,1260,0.682
LDZA,ESKN,2,1158,97,1255,0.695
LDZA,ESKN,2,1092,154,1246,0.818
LDZA,ESKN,1,604,17,621,0.432
LDZA,ESKN,1,608,680,1288,0.814
LDZA,ESKN,2,1151,221,1372,0.627
LDZA,ESKN,1,604,19,623,0.458
LDZA,ESKN,1,608,313,921,0.587
LDZA,ESKN,2,1144,469,1613,0.442
LDZA,ESKN,1,608,161,769,0.485
LDZA,ESKN,2,1153,372,1525,0.488
LDZA,ESKN,2,1161,154,1315,0.663
LDZA,ESKN,2,1150,33,1183,0.623
LDZA,ESKN,1,604,495,1099,0.461
LDZA,ESKN,1,608,202,810,0.456
LDZA,ESKN,1,608,468,1076,0.633
LDZA,ESKN,2,1147,133,1280,0.559
LDZA,ESKN,2,1161,316,1477,0.445
LDZA,ESKN,1,608,51,659,0.472
LDZA,ESKN,1,604,582,1186,0.610
LDZA,ESKN,2,1144,141,1285,0.749
LDZA,ESKN,2,1157,319,1476,0.524
LDZA,ESKN,1,608,539,1147,0.419
LDZA,ESKN,2,1093,367,1460,0.694
LDZA,ESKN,2,1147,66,1213,0.555
LDZA,ESKN,2,1158,100,1258,0.557
LDZA,ESKN,2,1144,296,1440,0.456
LDZA,ESKN,1,608,176,784,0.513
LDZA,ESKN,2,1154,278,1432,0.434
LDZA,ESKN,2,1154,192,1346,0.758
LDZA,ESKN,2,1150,324,1474,0.822
LDZA,ESKN,1,608,574,1182,0.503
LDZA,ESKN,1,608,107,715,0.597
LDZA,ESKN,2,1092,259,1351,0.581
LDZA,ESKN,2,1144,67,1211,0.469
LDZA,ESKN,2,1166,121,1287,0.709
LDZA,ESKN,2,1158,124,1282,0.515
LDZA,ESKN,1,604,643,1247,0.457
LDZA,ESKN,2,1151,271,1422,0.453
LDZA,ESKN,2,1154,95,1249,0.767
LDZA,ESKN,2,1267,108,1375,0.698
LDZA,ESKN,2,1150,195,1345,0.465
LDZA,ESKN,2,1161,174,1335,0.575
LDZA,ESKN,1,604,286,890,0.507
LDZA,ESKN,2,1163,369,1532,0.794
LDZA,ESKN,1,604,467,1071,0.923
LDZA,ESKN,2,1150,197,1347,0.627
LDZA,ESKN,1,604,199,803,0.505
LDZA,ESKN,2,1092,255,1347,0.471
LDZA,ESKN,1,604,319,923,0.500
LDZA,ESKN,1,608,401,1009,0.885
LDZA,ESKN,2,1154,54,1208,0.790
LDZA,ESKN,2,1092,152,1244,0.880
LDZA,ESKN,1,608,741,1349,0.801
LDZA,ESKN,2,1157,111,1268,0.935
LDZA,ESKN,1,608,224,832,0.849
LDZA,ESKN,1,608,456,1064,0.555
LDZA,ESKN,2,1092,440,1532,0.858
LDZA,ESKN,1,608,277,885,0.848
LDZA,ESKN,1,608,379,987,0.515
LDZA,ESKN,2,1157,151,1308,0.822
LDZA,ESKN,2,1163,432,1595,0.441
LDZA,ESKN,1,608,524,1132,0.472
LDZA,ESKN,2,1150,129,1279,0.473
LDZA,ESKN,2,1154,145,1299,0.558
LDZA,ESKN,2,1151,358,1509,0.465
LDZA,ESKN,2,1155,214,1369,0.730
LDZA,ESKN,1,604,279,883,0.465
LDZA,ESKN,1,608,356,964,0.460
LDZA,ESKN,2,1267,86,1353,0.565
LDZA,ESKN,2,1150,128,1278,0.688
LDZA,ESKN,1,608,588,1196,0.456
LDZA,ESKN,2,1151,216,1367,0.619
LDZA,ESKN,1,608,652,1260,0.776
LDZA,ESKN,1,608,47,655,0.460
LDZA,ESKN,2,1150,116,1266,0.488
LDZA,ESKN,2,1144,314,1458,0.753
LDZA,ESKN,2,1267,155,1422,0.456
LDZA,ESKN,1,604,24,628,0.839
LDZA,ESKN,2,1153,147,1300,0.582
LDZA,ESKN,1,608,327,935,0.691
LDZA,ESKN,2,1267,170,1437,0.460
LDZA,ESKN,1,608,679,1287,0.572
LDZA,ESKN,1,604,706,1310,0.475
LDZA,ESKN,2,1151,187,1338,0.454
LDZA,ESKN,2,1092,274,1366,0.601
LDZA,ESKN,2,1144,85,1229,0.832
LDZA,ESKN,1,608,161,769,0.474
LDZA,ESKN,2,1144,105,1249,0.718
LDZA,ESKN,2,1166,205,1371,0.452
LDZA,ESKN,2,1151,148,1299,0.453
LDZA,ESKN,2,1153,245,1398,0.835
LDZA,ESKN,2,1092,258,1350,0.477
LDZA,ESKN,2,1155,302,1457,0.481
LDZA,ESKN,1,604,497,1101,0.437
LDZA,ESKN,1,604,182,786,0.662
LDZA,ESKN,2,1151,256,1407,0.661
LDZA,ESKN,2,1157,360,1517,0.601
LDZA,ESKN,2,1155,420,1575,0.515
LDZA,ESKN,1,608,675,1283,0.467
LDZA,ESKN,2,1155,410,1565,0.549
LDZA,ESKN,2,1150,43,1193,0.452
LDZA,ESKN,1,604,408,1012,0.471
LDZA,ESKN,1,604,228,832,0.521
LDZA,ESKN,2,1151,263,1414,0.626
LDZA,ESKN,2,1150,288,1438,0.525
LDZA,ESKN,2,1161,203,1364,0.578
LDZA,ESKN,1,608,183,791,0.517
LDZA,ESKN,2,1153,175,1328,0.544
LDZA,ESKN,2,1154,247,1401,0.827
LDZA,ESKN,2,1166,102,1268,0.922
LDZA,ESKN,2,1155,134,1289,0.526
LDZA,ESKN,2,1092,250,1342,0.699
LDZA,ESKN,2,1161,147,1308,0.449
LDZA,ESKN,1,604,488,1092,0.406
LDZA,ESKN,2,1157,156,1313,0.729
LDZA,ESKN,1,608,709,1317,0.535
LDZA,ESKN,1,604,350,954,0.676
LDZA,ESKN,2,1158,224,1382,0.565
LDZA,ESKN,1,604,389,993,0.467
LDZA,ESKN,2,1153,479,1632,0.461
LDZA,ESKN,2,1161,231,1392,0.449
LDZA,ESKN,1,608,791,1399,0.452
LDZA,ESKN,2,1158,167,1325,0.537
LDZA,ESKN,2,1153,231,1384,0.457
LDZA,ESKN,2,1150,178,1328,0.465
LDZA,ESKN,2,1151,236,1387,0.506
LDZA,ESKN,2,1157,37,1194,0.656
LDZA,ESKN,2,1154,287,1441,0.389
LDZA,ESKN,2,1144,244,1388,0.845
LDZA,ESKN,2,1151,305,1456,0.898
LDZA,ESKN,2,1150,132,1282,0.765
LDZA,ESKN,2,1091,319,1410,0.818
LDZA,ESKN,2,1151,202,1353,0.875
LDZA,ESKN,2,1092,218,1310,0.532
LDZA,ESKN,2,1150,78,1228,0.460
