Origin,Destination,N_flights,Flight_time,Wait_time,Total_time
SKBO,SUAA,1,608,538,1146
SKBO,SUAA,1,647,131,778
SKBO,SUAA,1,648,90,738
SKBO,SUAA,2,1280,394,1674
SKBO,SUAA,2,1161,850,2011
SKBO,SUAA,1,608,1104,1712
SKBO,SUAA,1,650,810,1460
SKBO,SUAA,1,608,216,824
SKBO,SUAA,1,630,144,774
SKBO,SUAA,1,609,409,1018
SKBO,SUAA,2,1164,506,1670
SKBO,SUAA,1,629,39,668
SKBO,SUAA,2,1313,395,1708
SKBO,SUAA,1,646,483,1129
SKBO,SUAA,2,1310,173,1483
SKBO,SUAA,1,617,821,1438
SKBO,SUAA,1,608,201,809
SKBO,SUAA,1,608,566,1174
SKBO,SUAA,2,1151,664,1815
SKBO,SUAA,1,626,277,903
SKBO,SUAA,2,1207,902,2109
SKBO,SUAA,1,611,572,1183
SKBO,SUAA,2,1326,759,2085
SKBO,SUAA,3,1805,117,1922
SKBO,SUAA,1,606,537,1143
SKBO,SUAA,1,608,1151,1759
SKBO,SUAA,1,608,232,840
SKBO,SUAA,2,1144,1035,2179
SKBO,SUAA,2,1189,52,1241
SKBO,SUAA,1,608,790,1398
SKBO,SUAA,2,1172,519,1691
SKBO,SUAA,2,1288,261,1549
SKBO,SUAA,1,616,579,1195
SKBO,SUAA,1,648,178,826
SKBO,SUAA,2,1180,221,1401
SKBO,SUAA,1,652,949,1601
SKBO,SUAA,1,646,242,888
SKBO,SUAA,1,627,228,855
SKBO,SUAA,1,608,225,833
SKBO,SUAA,3,1839,672,2511
SKBO,SUAA,1,637,346,983
SKBO,SUAA,1,622,163,785
SKBO,SUAA,2,1196,533,1729
SKBO,SUAA,1,635,173,808
SKBO,SUAA,2,1168,539,1707
SKBO,SUAA,1,608,1106,1714
SKBO,SUAA,2,1200,538,1738
SKBO,SUAA,2,1131,241,1372
SKBO,SUAA,3,1880,1000,2880
SKBO,SUAA,1,663,402,1065
SKBO,SUAA,1,638,392,1030
SKBO,SUAA,1,665,589,1254
SKBO,SUAA,1,634,625,1259
SKBO,SUAA,1,645,11,656
SKBO,SUAA,2,1320,279,1599
SKBO,SUAA,2,1307,232,1539
SKBO,SUAA,1,665,75,740
SKBO,SUAA,2,1222,173,1395
SKBO,SUAA,1,618,1269,1887
SKBO,SUAA,1,641,1279,1920
SKBO,SUAA,1,609,725,1334
SKBO,SUAA,1,663,234,897
SKBO,SUAA,1,610,57,667
SKBO,SUAA,2,1204,430,1634
SKBO,SUAA,2,1214,763,1977
SKBO,SUAA,2,1130,260,1390
SKBO,SUAA,1,621,611,1232
SKBO,SUAA,2,1231,661,1892
SKBO,SUAA,1,663,429,1092
SKBO,SUAA,2,1105,895,2000
SKBO,SUAA,1,611,109,720
SKBO,SUAA,2,1190,47,1237
SKBO,SUAA,2,1164,197,1361
SKBO,SUAA,2,1210,713,1923
SKBO,SUAA,2,1140,783,1923
SKBO,SUAA,1,633,729,1362
SKBO,SUAA,3,1787,819,2606
SKBO,SUAA,1,611,125,736
SKBO,SUAA,2,1231,497,1728
SKBO,SUAA,1,611,112,723
SKBO,SUAA,1,650,1293,1943
SKBO,SUAA,1,638,491,1129
SKBO,SUAA,2,1370,187,1557
SKBO,SUAA,1,647,144,791
SKBO,SUAA,1,616,441,1057
SKBO,SUAA,1,664,617,1281
SKBO,SUAA,2,1225,647,1872
SKBO,SUAA,1,653,745,1398
SKBO,SUAA,1,646,1007,1653
SKBO,SUAA,2,1296,525,1821
SKBO,SUAA,1,641,329,970
SKBO,SUAA,2,2473,516,2989
SKBO,SUAA,1,641,405,1046
SKBO,SUAA,2,1176,917,2093
SKBO,SUAA,1,636,43,679
SKBO,SUAA,2,1254,497,1751
SKBO,SUAA,1,646,199,845
SKBO,SUAA,1,640,796,1436
SKBO,SUAA,2,1185,1277,2462
SKBO,SUAA,1,620,142,762
