Origin,Destination,N_flights,Flight_time,Wait_time,Total_time
SBBR,UMMS,2,1692,239,1931
SBBR,UMMS,2,1741,261,2002
SBBR,UMMS,2,1695,531,2226
SBBR,UMMS,2,1755,143,1898
SBBR,UMMS,2,1691,146,1837
SBBR,UMMS,1,1212,1024,2236
SBBR,UMMS,1,1200,609,1809
SBBR,UMMS,2,1995,391,2386
SBBR,UMMS,2,1752,575,2327
SBBR,UMMS,2,1755,520,2275
SBBR,UMMS,2,1757,814,2571
SBBR,UMMS,2,1755,626,2381
SBBR,UMMS,2,1868,318,2186
SBBR,UMMS,2,1695,611,2306
SBBR,UMMS,2,1757,481,2238
SBBR,UMMS,2,1692,240,1932
SBBR,UMMS,1,1200,883,2083
SBBR,UMMS,2,1759,242,2001
SBBR,UMMS,2,1758,232,1990
SBBR,UMMS,2,1747,537,2284
SBBR,UMMS,3,2425,237,2662
SBBR,UMMS,1,1200,338,1538
SBBR,UMMS,2,1698,495,2193
SBBR,UMMS,2,1758,368,2126
SBBR,UMMS,2,1747,164,1911
SBBR,UMMS,2,1750,295,2045
SBBR,UMMS,1,1200,886,2086
SBBR,UMMS,1,1212,833,2045
SBBR,UMMS,3,2288,365,2653
SBBR,UMMS,2,1698,103,1801
SBBR,UMMS,2,1749,488,2237
SBBR,UMMS,2,1755,449,2204
SBBR,UMMS,2,1761,586,2347
SBBR,UMMS,1,1212,594,1806
SBBR,UMMS,2,1692,392,2084
SBBR,UMMS,2,1743,179,1922
SBBR,UMMS,2,1762,423,2185
SBBR,UMMS,2,1691,395,2086
SBBR,UMMS,1,1200,384,1584
SBBR,UMMS,1,1212,675,1887
SBBR,UMMS,1,1200,784,1984
SBBR,UMMS,1,1200,878,2078
SBBR,UMMS,2,1756,309,2065
SBBR,UMMS,1,1212,176,1388
SBBR,UMMS,3,2308,363,2671
SBBR,UMMS,1,1212,408,1620
SBBR,UMMS,2,1702,169,1871
SBBR,UMMS,2,1702,256,1958
SBBR,UMMS,1,1200,523,1723
SBBR,UMMS,2,1861,268,2129
SBBR,UMMS,1,1212,653,1865
SBBR,UMMS,1,1212,494,1706
SBBR,UMMS,1,1200,297,1497
SBBR,UMMS,3,2307,189,2496
SBBR,UMMS,1,1212,597,1809
SBBR,UMMS,2,1987,841,2828
SBBR,UMMS,2,1755,322,2077
SBBR,UMMS,2,1762,345,2107
SBBR,UMMS,2,1749,186,1935
SBBR,UMMS,1,1200,135,1335
SBBR,UMMS,1,1212,623,1835
SBBR,UMMS,1,1200,227,1427
SBBR,UMMS,2,1752,683,2435
SBBR,UMMS,2,1875,422,2297
SBBR,UMMS,2,1695,277,1972
SBBR,UMMS,1,1212,435,1647
SBBR,UMMS,2,1692,194,1886
SBBR,UMMS,1,1212,129,1341
SBBR,UMMS,2,1861,235,2096
SBBR,UMMS,2,1759,159,1918
SBBR,UMMS,2,1747,541,2288
SBBR,UMMS,2,1748,366,2114
SBBR,UMMS,1,1212,395,1607
SBBR,UMMS,1,1200,336,1536
SBBR,UMMS,2,1747,574,2321
SBBR,UMMS,1,1212,289,1501
SBBR,UMMS,1,1212,872,2084
SBBR,UMMS,2,1746,600,2346
SBBR,UMMS,1,1200,232,1432
SBBR,UMMS,2,1743,454,2197
SBBR,UMMS,2,1755,360,2115
SBBR,UMMS,1,1200,333,1533
SBBR,UMMS,2,1692,606,2298
SBBR,UMMS,2,1748,644,2392
SBBR,UMMS,1,1212,1104,2316
SBBR,UMMS,2,1755,224,1979
SBBR,UMMS,2,1750,640,2390
SBBR,UMMS,2,1754,290,2044
SBBR,UMMS,2,1702,310,2012
SBBR,UMMS,2,1696,687,2383
SBBR,UMMS,1,1212,107,1319
SBBR,UMMS,1,1212,305,1517
SBBR,UMMS,1,1200,611,1811
SBBR,UMMS,2,1751,900,2651
SBBR,UMMS,2,1750,241,1991
SBBR,UMMS,2,1692,164,1856
SBBR,UMMS,1,1212,750,1962
SBBR,UMMS,2,1755,233,1988
SBBR,UMMS,2,1750,245,1995
SBBR,UMMS,2,1747,458,2205
SBBR,UMMS,1,1200,265,1465
SBBR,UMMS,2,1749,191,1940
SBBR,UMMS,1,1212,243,1455
SBBR,UMMS,2,1749,358,2107
SBBR,UMMS,2,1761,569,2330
SBBR,UMMS,1,1200,132,1332
SBBR,UMMS,1,1212,341,1553
SBBR,UMMS,1,1200,658,1858
