Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
EDDI,LBSF,880,880,0.837,0.583
EDDI,LBSF,1238,1238,0.882,0.621
EDDI,LBSF,1476,1476,0.462,0.303
EDDI,LBSF,1249,1249,0.483,0.310
EDDI,LBSF,937,937,0.555,0.316
EDDI,LBSF,1422,1422,0.626,0.397
EDDI,LBSF,1201,1201,0.733,0.354
EDDI,LBSF,654,654,0.757,0.537
EDDI,LBSF,1328,1328,0.999,0.768
EDDI,LBSF,1331,1331,0.997,0.746
EDDI,LBSF,1255,1255,0.767,0.343
EDDI,LBSF,1205,1205,0.816,0.658
EDDI,LBSF,692,692,0.822,0.660
EDDI,LBSF,1604,1604,0.818,0.724
EDDI,LBSF,1101,1101,0.479,0.309
EDDI,LBSF,1334,1334,0.956,0.813
EDDI,LBSF,912,912,0.922,0.728
EDDI,LBSF,1009,1009,0.825,0.680
EDDI,LBSF,1432,1432,0.878,0.607
EDDI,LBSF,1132,1132,0.793,0.520
EDDI,LBSF,1116,1116,0.867,0.563
EDDI,LBSF,1365,1365,0.790,0.508
EDDI,LBSF,1048,1048,0.993,0.716
EDDI,LBSF,1298,1298,0.750,0.531
EDDI,LBSF,803,803,0.828,0.705
EDDI,LBSF,757,757,0.832,0.612
EDDI,LBSF,1262,1262,0.835,0.616
EDDI,LBSF,1307,1307,0.838,0.663
EDDI,LBSF,1587,1587,0.832,0.661
EDDI,LBSF,1472,1472,0.583,0.419
EDDI,LBSF,1385,1385,0.746,0.561
EDDI,LBSF,1042,1042,0.467,0.352
EDDI,LBSF,1324,1324,0.430,0.295
EDDI,LBSF,768,768,0.491,0.359
EDDI,LBSF,1365,1365,0.656,0.589
EDDI,LBSF,1347,1347,0.855,0.561
EDDI,LBSF,1501,1501,0.513,0.377
EDDI,LBSF,1296,1296,0.546,0.412
EDDI,LBSF,1618,1618,0.677,0.460
EDDI,LBSF,1385,1385,0.420,0.305
EDDI,LBSF,1297,1297,0.907,0.757
EDDI,LBSF,1303,1303,0.443,0.303
EDDI,LBSF,1591,1591,0.448,0.347
EDDI,LBSF,1524,1524,0.809,0.575
EDDI,LBSF,1414,1414,0.851,0.599
EDDI,LBSF,1151,1151,0.513,0.457
EDDI,LBSF,1474,1474,0.467,0.319
EDDI,LBSF,1366,1366,0.463,0.336
EDDI,LBSF,666,666,0.517,0.517
EDDI,LBSF,725,725,0.725,0.398
EDDI,LBSF,1096,1096,0.423,0.305
EDDI,LBSF,810,810,0.941,0.454
EDDI,LBSF,1340,1340,0.504,0.319
EDDI,LBSF,1397,1397,0.900,0.423
EDDI,LBSF,1409,1409,0.527,0.339
EDDI,LBSF,1289,1289,0.461,0.314
EDDI,LBSF,1356,1356,0.522,0.355
EDDI,LBSF,1568,1568,0.728,0.588
EDDI,LBSF,1172,1172,0.851,0.759
EDDI,LBSF,1049,1049,0.655,0.412
EDDI,LBSF,1361,1361,0.618,0.361
EDDI,LBSF,1454,1454,0.624,0.673
EDDI,LBSF,1620,1620,0.552,0.534
EDDI,LBSF,1200,1200,0.537,0.339
EDDI,LBSF,1321,1321,0.650,0.664
EDDI,LBSF,1297,1297,0.541,0.357
EDDI,LBSF,1466,1466,0.486,0.299
EDDI,LBSF,773,773,0.718,0.521
EDDI,LBSF,1419,1419,0.516,0.402
EDDI,LBSF,1463,1463,0.546,0.552
EDDI,LBSF,1412,1412,0.482,0.295
EDDI,LBSF,801,801,0.515,0.324
EDDI,LBSF,819,819,0.449,0.326
EDDI,LBSF,1388,1388,0.470,0.310
EDDI,LBSF,1326,1326,0.617,0.661
EDDI,LBSF,1235,1235,0.892,0.546
EDDI,LBSF,1305,1305,0.510,0.355
EDDI,LBSF,1338,1338,0.434,0.474
EDDI,LBSF,786,786,0.733,0.589
EDDI,LBSF,957,957,0.830,0.609
EDDI,LBSF,1155,1155,0.524,0.301
EDDI,LBSF,1318,1318,0.452,0.324
EDDI,LBSF,1218,1218,0.431,0.398
EDDI,LBSF,1492,1492,0.867,0.687
EDDI,LBSF,1310,1310,0.579,0.378
EDDI,LBSF,1488,1488,0.647,0.308
EDDI,LBSF,1457,1457,0.684,0.550
EDDI,LBSF,1361,1361,0.788,0.633
EDDI,LBSF,1378,1378,0.988,0.709
EDDI,LBSF,1441,1441,0.881,0.582
EDDI,LBSF,1295,1295,0.907,0.624
EDDI,LBSF,1137,1137,0.790,0.542
EDDI,LBSF,1352,1352,0.847,0.556
EDDI,LBSF,1491,1491,0.929,0.627
EDDI,LBSF,1636,1636,0.865,0.567
EDDI,LBSF,998,998,0.663,0.545
EDDI,LBSF,1477,1477,0.862,0.558
EDDI,LBSF,641,641,0.827,0.599
EDDI,LBSF,805,805,0.804,0.556
EDDI,LBSF,734,734,0.687,0.549
EDDI,LBSF,734,734,0.873,0.585
EDDI,LBSF,1390,1390,0.605,0.304
EDDI,LBSF,1217,1217,0.415,0.512
EDDI,LBSF,1241,1241,0.412,0.302
EDDI,LBSF,1135,1135,0.447,0.431
EDDI,LBSF,1437,1437,0.817,0.594
EDDI,LBSF,1394,1394,0.637,0.549
EDDI,LBSF,1433,1433,0.732,0.389
EDDI,LBSF,825,825,0.437,0.324
EDDI,LBSF,1232,1232,0.430,0.326
EDDI,LBSF,1389,1389,0.633,0.539
EDDI,LBSF,1499,1499,0.847,0.616
EDDI,LBSF,1447,1447,0.805,0.623
EDDI,LBSF,1463,1463,0.856,0.750
EDDI,LBSF,1397,1397,0.836,0.394
EDDI,LBSF,1499,1499,0.508,0.408
EDDI,LBSF,1459,1459,0.461,0.418
EDDI,LBSF,1538,1538,0.611,0.429
EDDI,LBSF,808,808,0.454,0.315
EDDI,LBSF,1327,1327,0.522,0.331
EDDI,LBSF,1324,1324,0.473,0.336
EDDI,LBSF,1403,1403,0.491,0.373
EDDI,LBSF,1011,1011,0.465,0.390
EDDI,LBSF,1354,1354,0.422,0.310
EDDI,LBSF,1284,1284,0.441,0.299
EDDI,LBSF,1370,1370,0.868,0.498
EDDI,LBSF,962,962,0.424,0.322
EDDI,LBSF,1511,1511,0.445,0.317
EDDI,LBSF,1477,1477,0.684,0.560
EDDI,LBSF,903,903,0.564,0.434
EDDI,LBSF,1554,1554,0.685,0.451
EDDI,LBSF,1236,1236,0.578,0.332
EDDI,LBSF,915,915,0.488,0.326
EDDI,LBSF,1512,1512,0.945,0.706
EDDI,LBSF,1080,1080,0.634,0.391
EDDI,LBSF,995,995,0.689,0.367
EDDI,LBSF,657,657,0.878,0.606
EDDI,LBSF,1560,1560,0.503,0.416
EDDI,LBSF,1162,1162,0.927,0.744
EDDI,LBSF,1042,1042,0.847,0.570
EDDI,LBSF,1454,1454,0.787,0.613
EDDI,LBSF,1408,1408,0.594,0.602
EDDI,LBSF,959,959,0.899,0.723
EDDI,LBSF,1544,1544,0.593,0.385
EDDI,LBSF,1444,1444,0.801,0.851
EDDI,LBSF,1218,1218,0.728,0.515
EDDI,LBSF,1315,1315,0.554,0.504
EDDI,LBSF,1060,1060,0.880,0.656
EDDI,LBSF,1387,1387,0.940,0.578
EDDI,LBSF,1233,1233,0.554,0.384
EDDI,LBSF,1458,1458,0.708,0.590
EDDI,LBSF,1537,1537,0.955,0.615
EDDI,LBSF,1224,1224,0.702,0.429
EDDI,LBSF,1539,1539,0.728,0.375
EDDI,LBSF,1239,1239,0.535,0.307
EDDI,LBSF,1277,1277,0.913,0.579
EDDI,LBSF,1224,1224,0.773,0.597
EDDI,LBSF,1509,1509,0.890,0.546
EDDI,LBSF,712,712,0.876,0.626
